Ion = Lithium     , Mass = 6.015122
Tgt =  C (Solid), Density = 2.253 g/cm3
Stopping Units = MeV/(mg/cm2) 
Energy(keV)  S(Elec)    S(Nuc)
2.101E+05   1.341E-01  5.757E-05 
2.104E+05   1.339E-01  5.751E-05 
2.107E+05   1.338E-01  5.744E-05 
2.109E+05   1.337E-01  5.737E-05 
2.112E+05   1.335E-01  5.731E-05 
2.115E+05   1.334E-01  5.724E-05 
2.117E+05   1.333E-01  5.718E-05 
2.120E+05   1.331E-01  5.711E-05 
2.123E+05   1.330E-01  5.705E-05 
2.125E+05   1.328E-01  5.698E-05 
2.128E+05   1.327E-01  5.692E-05 
2.131E+05   1.326E-01  5.685E-05 
2.133E+05   1.324E-01  5.679E-05 
2.136E+05   1.323E-01  5.672E-05 
2.139E+05   1.322E-01  5.666E-05 
2.141E+05   1.320E-01  5.659E-05 
2.144E+05   1.319E-01  5.653E-05 
2.147E+05   1.318E-01  5.647E-05 
2.149E+05   1.317E-01  5.640E-05 
2.152E+05   1.315E-01  5.634E-05 
2.155E+05   1.314E-01  5.627E-05 
2.157E+05   1.313E-01  5.621E-05 
2.160E+05   1.311E-01  5.615E-05 
2.163E+05   1.310E-01  5.608E-05 
2.165E+05   1.309E-01  5.602E-05 
2.168E+05   1.307E-01  5.596E-05 
2.171E+05   1.306E-01  5.590E-05 
2.173E+05   1.305E-01  5.583E-05 
2.176E+05   1.303E-01  5.577E-05 
2.178E+05   1.302E-01  5.571E-05 
2.181E+05   1.301E-01  5.565E-05 
2.184E+05   1.300E-01  5.559E-05 
2.186E+05   1.298E-01  5.552E-05 
2.189E+05   1.297E-01  5.546E-05 
2.192E+05   1.296E-01  5.540E-05 
2.194E+05   1.295E-01  5.534E-05 
2.197E+05   1.293E-01  5.528E-05 
2.200E+05   1.292E-01  5.522E-05 
2.202E+05   1.291E-01  5.516E-05 
2.205E+05   1.289E-01  5.510E-05 
2.208E+05   1.288E-01  5.504E-05 
2.210E+05   1.287E-01  5.497E-05 
2.213E+05   1.286E-01  5.491E-05 
2.216E+05   1.284E-01  5.485E-05 
2.218E+05   1.283E-01  5.479E-05 
2.221E+05   1.282E-01  5.473E-05 
2.224E+05   1.281E-01  5.467E-05 
2.226E+05   1.280E-01  5.461E-05 
2.229E+05   1.278E-01  5.456E-05 
2.232E+05   1.277E-01  5.450E-05 
2.234E+05   1.276E-01  5.444E-05 
2.237E+05   1.275E-01  5.438E-05 
2.240E+05   1.273E-01  5.432E-05 
2.242E+05   1.272E-01  5.426E-05 
2.245E+05   1.271E-01  5.420E-05 
2.248E+05   1.270E-01  5.414E-05 
2.250E+05   1.269E-01  5.408E-05 
2.253E+05   1.267E-01  5.403E-05 
2.256E+05   1.266E-01  5.397E-05 
2.258E+05   1.265E-01  5.391E-05 
2.261E+05   1.264E-01  5.385E-05 
2.264E+05   1.262E-01  5.379E-05 
2.266E+05   1.261E-01  5.374E-05 
2.269E+05   1.260E-01  5.368E-05 
2.272E+05   1.259E-01  5.362E-05 
2.274E+05   1.258E-01  5.356E-05 
2.277E+05   1.257E-01  5.351E-05 
2.280E+05   1.255E-01  5.345E-05 
2.282E+05   1.254E-01  5.339E-05 
2.285E+05   1.253E-01  5.334E-05 
2.288E+05   1.252E-01  5.328E-05 
2.290E+05   1.251E-01  5.322E-05 
2.293E+05   1.249E-01  5.317E-05 
2.296E+05   1.248E-01  5.311E-05 
2.298E+05   1.247E-01  5.305E-05 
2.301E+05   1.246E-01  5.300E-05 
2.304E+05   1.245E-01  5.294E-05 
2.306E+05   1.244E-01  5.289E-05 
2.309E+05   1.242E-01  5.283E-05 
2.311E+05   1.241E-01  5.278E-05 
2.314E+05   1.240E-01  5.272E-05 
2.317E+05   1.239E-01  5.267E-05 
2.319E+05   1.238E-01  5.261E-05 
2.322E+05   1.237E-01  5.255E-05 
2.325E+05   1.236E-01  5.250E-05 
2.327E+05   1.234E-01  5.245E-05 
2.330E+05   1.233E-01  5.239E-05 
2.333E+05   1.232E-01  5.234E-05 
2.335E+05   1.231E-01  5.228E-05 
2.338E+05   1.230E-01  5.223E-05 
2.341E+05   1.229E-01  5.217E-05 
2.343E+05   1.228E-01  5.212E-05 
2.346E+05   1.227E-01  5.207E-05 
2.349E+05   1.225E-01  5.201E-05 
